question,question_slug,cue,correct_response,feat_type,proposition_id
Is it a fruit?,is-it-a-fruit,rabbit,no,nonvisual,rabbit:nonvisual:no:5
Is it used for making jam?,is-it-used-for-making-jam,rabbit,no,nonvisual,rabbit:nonvisual:no:4
Does it live in zoos?,does-it-live-in-zoos,rabbit,no,nonvisual,rabbit:nonvisual:no:1
Does it roar?,does-it-roar,rabbit,no,nonvisual,rabbit:nonvisual:no:3
Does it have a tail?,does-it-have-a-tail,raccoon,yes,visual,raccoon:visual:yes:2
Does it have eyes?,does-it-have-eyes,raccoon,yes,visual,raccoon:visual:yes:3
Does it have stripes?,does-it-have-stripes,raccoon,yes,visual,raccoon:visual:yes:4
Does it have a mask?,does-it-have-a-mask,raccoon,yes,visual,raccoon:visual:yes:5
Is it nocturnal?,is-it-nocturnal,raccoon,yes,nonvisual,raccoon:nonvisual:yes:3
Is it furry?,is-it-furry,raccoon,yes,nonvisual,raccoon:nonvisual:yes:2
Does it eat garbage?,does-it-eat-garbage,raccoon,yes,nonvisual,raccoon:nonvisual:yes:1
Does it produce offspring?,does-it-produce-offspring,raccoon,yes,nonvisual,raccoon:nonvisual:yes:4
Does it have seeds?,does-it-have-seeds,raccoon,no,visual,raccoon:visual:no:2
Is it black?,is-it-black,raccoon,no,visual,raccoon:visual:no:6
Does it have a beak?,does-it-have-a-beak,raccoon,no,visual,raccoon:visual:no:5
Does it have green leaves?,does-it-have-green-leaves,raccoon,no,visual,raccoon:visual:no:3
Does it have a mane?,does-it-have-a-mane,raccoon,no,visual,raccoon:visual:no:1
Does it have a long neck?,does-it-have-a-long-neck,raccoon,no,visual,raccoon:visual:no:4
Is it used for holding beer?,is-it-used-for-holding-beer,raccoon,no,nonvisual,raccoon:nonvisual:no:3
Is it used for protection?,is-it-used-for-protection,raccoon,no,nonvisual,raccoon:nonvisual:no:2
Does it hop?,does-it-hop,raccoon,no,nonvisual,raccoon:nonvisual:no:1
Is it small?,is-it-small,strawberry,yes,visual,strawberry:visual:yes:4
Is it red?,is-it-red,strawberry,yes,visual,strawberry:visual:yes:1
Does it have seeds?,does-it-have-seeds,strawberry,yes,visual,strawberry:visual:yes:2
Does it have green leaves?,does-it-have-green-leaves,strawberry,yes,visual,strawberry:visual:yes:3
Is it a fruit?,is-it-a-fruit,strawberry,yes,nonvisual,strawberry:nonvisual:yes:1
Does it taste good?,does-it-taste-good,strawberry,yes,nonvisual,strawberry:nonvisual:yes:4
Is it used for making jam?,is-it-used-for-making-jam,strawberry,yes,nonvisual,strawberry:nonvisual:yes:3
Does it taste sweet?,does-it-taste-sweet,strawberry,yes,nonvisual,strawberry:nonvisual:yes:2
Does it have a tail?,does-it-have-a-tail,strawberry,no,visual,strawberry:visual:no:2
Does it have four legs?,does-it-have-four-legs,strawberry,no,visual,strawberry:visual:no:1
Does it have ears?,does-it-have-ears,strawberry,no,visual,strawberry:visual:no:4
Does it have a mane?,does-it-have-a-mane,strawberry,no,visual,strawberry:visual:no:3
Is it used for riding?,is-it-used-for-riding,strawberry,no,nonvisual,strawberry:nonvisual:no:1
Does it eat?,does-it-eat,strawberry,no,nonvisual,strawberry:nonvisual:no:4
Is it furniture?,is-it-furniture,strawberry,no,nonvisual,strawberry:nonvisual:no:3
Is it an insect?,is-it-an-insect,strawberry,no,nonvisual,strawberry:nonvisual:no:2
Does it have a beak?,does-it-have-a-beak,swan,yes,visual,swan:visual:yes:2
Does it have feathers?,does-it-have-feathers,swan,yes,visual,swan:visual:yes:3
Does it have wings?,does-it-have-wings,swan,yes,visual,swan:visual:yes:4
Does it have a long neck?,does-it-have-a-long-neck,swan,yes,visual,swan:visual:yes:1
Is it a bird?,is-it-a-bird,swan,yes,nonvisual,swan:nonvisual:yes:2
Is it graceful?,is-it-graceful,swan,yes,nonvisual,swan:nonvisual:yes:1
Does it lay eggs?,does-it-lay-eggs,swan,yes,nonvisual,swan:nonvisual:yes:4
Does it live on water?,does-it-live-on-water,swan,yes,nonvisual,swan:nonvisual:yes:3
Does it have a tail?,does-it-have-a-tail,swan,no,visual,swan:visual:no:2
Does it have a hump?,does-it-have-a-hump,swan,no,visual,swan:visual:no:1
Does it have four legs?,does-it-have-four-legs,swan,no,visual,swan:visual:no:3
Is it made of wood?,is-it-made-of-wood,swan,no,visual,swan:visual:no:4
Does it grow on trees?,does-it-grow-on-trees,swan,no,nonvisual,swan:nonvisual:no:2
Is it used by riding?,is-it-used-by-riding,swan,no,nonvisual,swan:nonvisual:no:1
Is it found in dining rooms?,is-it-found-in-dining-rooms,swan,no,nonvisual,swan:nonvisual:no:3
Does it travel in herds?,does-it-travel-in-herds,swan,no,nonvisual,swan:nonvisual:no:4
Does it have legs?,does-it-have-legs,table,yes,visual,table:visual:yes:3
Is it made of wood?,is-it-made-of-wood,table,yes,visual,table:visual:yes:1
Is it flat?,is-it-flat,table,yes,visual,table:visual:yes:4
Is it furniture?,is-it-furniture,table,yes,nonvisual,table:nonvisual:yes:4
Is it found in kitchens?,is-it-found-in-kitchens,table,yes,nonvisual,table:nonvisual:yes:2
Is it found in dining rooms?,is-it-found-in-dining-rooms,table,yes,nonvisual,table:nonvisual:yes:3
Is it used for eating on?,is-it-used-for-eating-on,table,yes,nonvisual,table:nonvisual:yes:1
Does it have a tail?,does-it-have-a-tail,table,no,visual,table:visual:no:3
Is it round?,is-it-round,table,no,visual,table:visual:no:5
Does it have a skin?,does-it-have-a-skin,table,no,visual,table:visual:no:4
Does it have a neck?,does-it-have-a-neck,table,no,visual,table:visual:no:1
Does it have a nose?,does-it-have-a-nose,table,no,visual,table:visual:no:2
Is it an animal?,is-it-an-animal,table,no,nonvisual,table:nonvisual:no:1
Is it a mammal?,is-it-a-mammal,table,no,nonvisual,table:nonvisual:no:2
Is it healthy?,is-it-healthy,table,no,nonvisual,table:nonvisual:no:3
Does it grow in Hawaii?,does-it-grow-in-hawaii,table,no,nonvisual,table:nonvisual:no:4
Does it have teeth?,does-it-have-teeth,tiger,yes,visual,tiger:visual:yes:2
Does it have stripes?,does-it-have-stripes,tiger,yes,visual,tiger:visual:yes:1
Does it have whiskers?,does-it-have-whiskers,tiger,yes,visual,tiger:visual:yes:4
Is it orange?,is-it-orange,tiger,yes,visual,tiger:visual:yes:3
Does it have large teeth?,does-it-have-large-teeth,tiger,yes,visual,tiger:visual:yes:5
Is it an animal?,is-it-an-animal,tiger,yes,nonvisual,tiger:nonvisual:yes:2
Is it a carnivore?,is-it-a-carnivore,tiger,yes,nonvisual,tiger:nonvisual:yes:1
Does it live in zoos?,does-it-live-in-zoos,tiger,yes,nonvisual,tiger:nonvisual:yes:4
Does it live in India?,does-it-live-in-india,tiger,yes,nonvisual,tiger:nonvisual:yes:5
Is it black?,is-it-black,tiger,no,visual,tiger:visual:no:1
Is it brown?,is-it-brown,tiger,no,visual,tiger:visual:no:2
Does it have large ears?,does-it-have-large-ears,tiger,no,visual,tiger:visual:no:3
Does it have warts?,does-it-have-warts,tiger,no,visual,tiger:visual:no:5
Is it yellow inside?,is-it-yellow-inside,tiger,no,visual,tiger:visual:no:4
Does it grow underground?,does-it-grow-underground,tiger,no,nonvisual,tiger:nonvisual:no:3
Is it used for sitting on?,is-it-used-for-sitting-on,tiger,no,nonvisual,tiger:nonvisual:no:1
Is it used for relaxing?,is-it-used-for-relaxing,tiger,no,nonvisual,tiger:nonvisual:no:5
Is it worn in winter?,is-it-worn-in-winter,tiger,no,nonvisual,tiger:nonvisual:no:4
Does it taste sweet?,does-it-taste-sweet,tiger,no,nonvisual,tiger:nonvisual:no:2
Does it have jaws?,does-it-have-jaws,zebra,yes,visual,zebra:visual:yes:5
Does it have hooves?,does-it-have-hooves,zebra,yes,visual,zebra:visual:yes:3
Does it have stripes?,does-it-have-stripes,zebra,yes,visual,zebra:visual:yes:1
Does it have four legs?,does-it-have-four-legs,zebra,yes,visual,zebra:visual:yes:2
Does it have a mane?,does-it-have-a-mane,zebra,yes,visual,zebra:visual:yes:4
Is it an animal?,is-it-an-animal,zebra,yes,nonvisual,zebra:nonvisual:yes:1
Does it live in Africa?,does-it-live-in-africa,zebra,yes,nonvisual,zebra:nonvisual:yes:3
Does it travel in herds?,does-it-travel-in-herds,zebra,yes,nonvisual,zebra:nonvisual:yes:4
Does it run fast?,does-it-run-fast,zebra,yes,nonvisual,zebra:nonvisual:yes:2
Is it red?,is-it-red,zebra,no,visual,zebra:visual:no:1
Does it have antennae?,does-it-have-antennae,zebra,no,visual,zebra:visual:no:2
Does it live in water?,does-it-live-in-water,zebra,no,nonvisual,zebra:nonvisual:no:4
Is it eaten by rabbits?,is-it-eaten-by-rabbits,zebra,no,nonvisual,zebra:nonvisual:no:3
Does it live in jungles?,does-it-live-in-jungles,zebra,no,nonvisual,zebra:nonvisual:no:5
Does it eat garbage?,does-it-eat-garbage,zebra,no,nonvisual,zebra:nonvisual:no:1
Is it used for eating on?,is-it-used-for-eating-on,zebra,no,nonvisual,zebra:nonvisual:no:2
